size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,city_ الدمام,city_ الرياض,city_ جدة,front_4 شوارع,front_جنوب,front_جنوب شرقي,front_جنوب غربي,front_شرق,front_شمال,front_شمال شرقي,front_شمال غربي,front_غرب
250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,False,True,False,False,False,False,False,False,True,False,False,False
370,0,4,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,60000,False,True,False,False,True,False,False,False,False,False,False,False
380,0,4,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,60000,False,True,False,False,True,False,False,False,False,False,False,False
250,0,5,5,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,55000,False,True,False,False,False,False,False,False,False,False,False,True
400,11,7,5,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,70000,False,True,False,False,False,False,False,False,False,False,False,True
250,25,5,4,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,45000,False,True,False,False,False,False,False,True,False,False,False,False
250,0,5,5,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,45000,False,True,False,False,False,False,False,False,True,False,False,False
288,6,5,5,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,37000,False,True,False,False,False,True,False,False,False,False,False,False
250,0,4,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,150000,False,True,False,False,False,False,True,False,False,False,False,False
290,0,3,5,3,1,1,1,1,1,1,0,0,1,0,1,0,0,0,150000,False,True,False,False,False,False,False,False,True,False,False,False
400,0,5,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,90000,False,True,False,False,False,False,False,True,False,False,False,False
440,0,5,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,90000,False,True,False,False,True,False,False,False,False,False,False,False
500,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,70000,False,True,False,False,False,False,False,True,False,False,False,False
377,0,7,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,76000,False,True,False,False,False,False,False,False,False,False,True,False
250,0,5,5,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,85000,False,True,False,False,False,False,False,False,True,False,False,False
339,9,4,5,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,120000,False,True,False,False,True,False,False,False,False,False,False,False
350,0,3,3,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0,65000,False,True,False,False,True,False,False,False,False,False,False,False
200,10,4,5,2,1,0,1,1,0,1,0,0,0,0,1,1,0,0,90000,False,True,False,False,False,False,False,False,True,False,False,False
220,0,4,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000,False,True,False,False,False,False,False,True,False,False,False,False
290,0,7,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,90000,False,True,False,False,False,False,False,False,False,False,True,False
400,18,5,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,150000,False,True,False,False,False,False,False,False,False,False,False,True
375,13,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,80000,False,True,False,False,False,False,False,False,False,False,False,True
200,5,7,5,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,50000,False,True,False,False,False,False,False,True,False,False,False,False
450,12,7,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,130000,False,True,False,False,False,False,False,False,True,False,False,False
360,0,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,45000,False,True,False,False,False,False,False,False,False,False,False,True
250,0,5,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,55000,False,True,False,False,False,False,False,False,False,False,False,True
270,0,4,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,100000,False,True,False,False,False,False,False,True,False,False,False,False
350,0,4,4,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,40000,False,True,False,False,False,False,False,False,False,False,True,False
400,0,5,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,1,40000,False,True,False,False,False,False,True,False,False,False,False,False
200,0,4,5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,120000,False,True,False,False,False,False,False,False,True,False,False,False
300,3,4,3,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,110000,False,True,False,False,False,False,False,False,True,False,False,False
300,0,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,70000,False,True,False,False,False,False,False,False,False,False,False,True
300,5,5,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,45000,False,True,False,False,False,False,False,False,False,False,False,True
300,0,7,5,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,125000,False,True,False,False,False,False,False,False,True,False,False,False
250,0,5,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,55000,False,True,False,False,False,False,False,False,False,False,False,True
375,10,4,5,3,1,1,1,1,0,1,0,1,1,1,1,1,0,0,110000,False,True,False,False,False,False,False,False,False,False,False,True
300,0,4,4,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,45000,False,True,False,False,False,False,False,False,True,False,False,False
312,0,3,4,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,65000,False,True,False,False,True,False,False,False,False,False,False,False
312,0,5,5,5,0,1,1,1,1,0,1,1,1,0,0,1,0,0,50000,False,True,False,False,True,False,False,False,False,False,False,False
300,0,3,5,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000,False,True,False,False,False,False,False,False,False,False,False,True
400,0,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000,False,True,False,False,False,False,False,False,True,False,False,False
250,0,5,5,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,55000,False,True,False,False,False,False,False,False,False,False,False,True
250,0,5,5,2,0,1,1,0,0,0,1,0,0,0,1,1,0,0,55000,False,True,False,False,False,False,False,False,False,False,False,True
327,10,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000,False,True,False,False,False,False,True,False,False,False,False,False
336,0,5,5,2,1,1,1,1,0,1,0,1,1,0,0,0,1,0,140000,False,True,False,False,False,False,False,False,True,False,False,False
325,7,5,5,4,1,1,0,1,0,1,1,0,1,0,0,1,0,0,90000,False,True,False,False,False,False,False,True,False,False,False,False
325,2,4,4,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,50000,False,True,False,False,True,False,False,False,False,False,False,False
312,9,6,5,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,85000,False,True,False,False,False,False,False,False,True,False,False,False
500,8,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,50000,False,True,False,False,False,False,False,False,False,False,True,False
352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000,False,True,False,False,True,False,False,False,False,False,False,False
450,0,5,4,3,1,1,1,0,0,1,1,0,1,1,0,1,0,0,110000,False,True,False,False,False,False,False,False,False,True,False,False
500,27,5,5,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,115000,False,True,False,False,False,False,False,False,True,False,False,False
360,0,6,3,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000,False,True,False,False,False,False,False,True,False,False,False,False
400,10,3,4,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,80000,False,True,False,False,False,False,False,False,False,False,False,True
450,0,5,5,3,1,1,1,1,0,1,1,0,1,0,0,1,0,0,110000,False,True,False,False,False,False,False,False,False,True,False,False
200,2,7,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,65000,False,True,False,False,False,False,False,True,False,False,False,False
352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000,False,True,False,False,True,False,False,False,False,False,False,False
200,3,5,5,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,85000,False,True,False,False,True,False,False,False,False,False,False,False
375,0,4,5,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,110000,False,True,False,False,False,False,False,True,False,False,False,False
360,2,4,3,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,55000,False,True,False,False,True,False,False,False,False,False,False,False
330,10,5,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,79000,False,True,False,False,False,False,False,False,False,False,False,True
500,0,5,4,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,35000,False,True,False,False,False,False,False,True,False,False,False,False
325,12,5,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,50000,False,True,False,False,False,False,False,False,True,False,False,False
310,0,7,4,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,56000,False,True,False,False,False,False,False,False,False,False,False,True
220,9,4,4,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000,False,True,False,False,False,False,False,False,False,False,False,True
250,15,7,5,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,40000,False,True,False,False,False,False,False,False,False,False,False,True
200,3,5,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,85000,False,True,False,False,False,False,False,True,False,False,False,False
